"","","","45","Round","1671","0.74","Ideal","H","VVS2","2258.1081081081","","","45","Round","0","0.00","Ideal","VVS2","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","46","Round","2030","0.80","Ideal","H","VVS2","2537.5","","","46","Round","0","0.00","Ideal","VVS2","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","47","Round","2210","0.84","Ideal","H","VVS2","2630.9523809524","","","47","Round","0","0.00","Ideal","VVS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","48","Round","3010","0.88","Ideal","H","VVS2","3420.4545454545","","","48","Round","0","0.00","Ideal","VVS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","49","Round","1520","0.70","Ideal","I","VVS2","2171.4285714286","","","49","Round","0","0.00","Ideal","VVS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","50","Round","1610","0.73","Ideal","I","VVS2","2205.4794520548","","","50","Round","433","0.70","Ideal","VS1","D","618.57142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","51","Round","1590","0.75","Ideal","I","VVS2","2120","","","51","Round","423","0.71","Ideal","VS1","D","595.77464788732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","52","Round","2010","0.83","Ideal","I","VVS2","2421.686746988","","","52","Round","408","0.72","Ideal","VS1","D","566.66666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","53","Round","2590","0.86","Ideal","I","VVS2","3011.6279069767","","","53","Round","432","0.70","Ideal","VS1","E","617.14285714286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","54","Round","1140","0.70","Ideal","J","VVS2","1628.5714285714","","","54","Round","410","0.71","Ideal","VS1","E","577.46478873239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","55","Round","1410","0.72","Ideal","J","VVS2","1958.3333333333","","","55","Round","500","0.82","Ideal","VS1","E","609.75609756098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","56","Round","1440","0.80","Ideal","J","VVS2","1800","","","56","Round","438","0.72","Ideal","VS1","F","608.33333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","57","Round","1840","0.82","Ideal","J","VVS2","2243.9024390244","","","57","Round","426","0.70","Ideal","VS1","F","608.57142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","58","Round","1060","0.70","Ideal","K","VVS2","1514.2857142857","","","58","Round","432","0.71","Ideal","VS1","F","608.45070422535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","59","Round","1210","0.74","Ideal","K","VVS2","1635.1351351351","","","59","Round","448","0.70","Ideal","VS1","G","640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","60","Round","2190","0.85","Ideal","K","VVS2","2576.4705882353","","","60","Round","541","0.85","Ideal","VS1","G","636.47058823529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","61","Round","2090","0.88","Ideal","K","VVS2","2375","","","61","Round","0","0.83","Ideal","VS1","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","62","Round","1720","0.70","Ideal","D","VS1","2457.1428571429","","","62","Round","489","0.81","Ideal","VS1","H","603.7037037037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","63","Round","2120","0.73","Ideal","D","VS1","2904.1095890411","","","63","Round","374","0.72","Ideal","VS1","H","519.44444444444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","64","Round","2400","0.76","Ideal","D","VS1","3157.8947368421","","","64","Round","351","0.70","Ideal","VS1","H","501.42857142857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","65","Round","3310","0.80","Ideal","D","VS1","4137.5","","","65","Round","0","0.71","Ideal","VS1","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","66","Round","4120","0.85","Ideal","D","VS1","4847.0588235294","","","66","Round","388","0.72","Ideal","VS1","I","538.88888888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","67","Round","1640","0.70","Ideal","E","VS1","2342.8571428571","","","67","Round","391","0.74","Ideal","VS1","I","528.37837837838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","68","Round","1960","0.72","Ideal","E","VS1","2722.2222222222","","","68","Round","0","0.83","Ideal","VS1","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","69","Round","2160","0.76","Ideal","E","VS1","2842.1052631579","","","69","Round","0","0.81","Ideal","VS1","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","70","Round","2430","0.81","Ideal","E","VS1","3000","","","70","Round","0","0.72","Ideal","VS1","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","71","Round","3030","0.86","Ideal","E","VS1","3523.2558139535","","","71","Round","0","0.83","Ideal","VS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","72","Round","1690","0.71","Ideal","F","VS1","2380.2816901408","","","72","Round","0","0.81","Ideal","VS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","73","Round","2460","0.75","Ideal","F","VS1","3280","","","73","Round","0","0.72","Ideal","VS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","74","Round","2620","0.80","Ideal","F","VS1","3275","","","74","Round","441","0.70","Ideal","VS2","D","630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","75","Round","3430","0.85","Ideal","F","VS1","4035.2941176471","","","75","Round","444","0.73","Ideal","VS2","D","608.21917808219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","76","Round","1650","0.70","Ideal","G","VS1","2357.1428571429","","","76","Round","450","0.74","Ideal","VS2","D","608.10810810811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","77","Round","1930","0.74","Ideal","G","VS1","2608.1081081081","","","77","Round","457","0.70","Ideal","VS2","E","652.85714285714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","78","Round","2190","0.81","Ideal","G","VS1","2703.7037037037","","","78","Round","425","0.71","Ideal","VS2","E","598.59154929577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","79","Round","2580","0.85","Ideal","G","VS1","3035.2941176471","","","79","Round","437","0.73","Ideal","VS2","E","598.6301369863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","80","Round","3330","0.87","Ideal","G","VS1","3827.5862068966","","","80","Round","448","0.71","Ideal","VS2","F","630.98591549296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","81","Round","1360","0.70","Ideal","H","VS1","1942.8571428571","","","81","Round","470","0.70","Ideal","VS2","F","671.42857142857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","82","Round","1700","0.76","Ideal","H","VS1","2236.8421052632","","","82","Round","491","0.73","Ideal","VS2","F","672.60273972603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","83","Round","1890","0.80","Ideal","H","VS1","2362.5","","","83","Round","545","0.71","Ideal","VS2","G","767.60563380282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","84","Round","2530","0.88","Ideal","H","VS1","2875","","","84","Round","0","0.83","Ideal","VS2","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","85","Round","1490","0.70","Ideal","I","VS1","2128.5714285714","","","85","Round","0","0.71","Ideal","VS2","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","86","Round","1570","0.74","Ideal","I","VS1","2121.6216216216","","","86","Round","0","0.80","Ideal","VS2","H","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","87","Round","1550","0.79","Ideal","I","VS1","1962.0253164557","","","87","Round","0","0.73","Ideal","VS2","H","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","88","Round","1880","0.80","Ideal","I","VS1","2350","","","88","Round","430","0.71","Ideal","VS2","H","605.6338028169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","89","Round","2240","0.85","Ideal","I","VS1","2635.2941176471","","","89","Round","0","0.71","Ideal","VS2","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
